ID,DATA_HORA,DIA_SEM,FERIDOS,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,CONT_ACID,CONT_VIT,UPS
436733,20080101 01:00,TERCA,0,BOM,NOITE,SUL,1,1,2008,1,1,1,13
443906,20080101 01:10,TERCA,1,BOM,NOITE,CENTRO,1,1,2008,1,1,1,5
436615,20080101 01:30,TERCA,1,BOM,NOITE,SUL,1,1,2008,1,1,1,5
436613,20080101 01:35,TERCA,1,BOM,NOITE,LESTE,1,1,2008,1,1,1,5
447106,20080101 01:35,TERCA,0,BOM,NOITE,NORTE,1,1,2008,1,1,1,13
436614,20080101 02:10,TERCA,2,BOM,NOITE,SUL,1,1,2008,2,1,1,5
436729,20080101 02:15,TERCA,0,BOM,NOITE,SUL,1,1,2008,2,1,0,1
436730,20080101 13:30,TERCA,0,BOM,DIA,SUL,1,1,2008,13,1,0,1
436558,20080101 13:45,TERCA,0,BOM,DIA,SUL,1,1,2008,13,1,1,13
436638,20080101 16:20,TERCA,0,BOM,DIA,CENTRO,1,1,2008,16,1,0,1
436602,20080101 17:00,TERCA,1,BOM,DIA,SUL,1,1,2008,17,1,1,5
436603,20080101 19:05,TERCA,0,BOM,NOITE,SUL,1,1,2008,19,1,0,1
436533,20080101 21:00,TERCA,0,BOM,NOITE,NORTE,1,1,2008,21,1,0,1
436610,20080101 23:20,TERCA,1,BOM,NOITE,CENTRO,1,1,2008,23,1,1,5
436612,20080102 01:26,QUARTA,1,BOM,NOITE,CENTRO,2,1,2008,1,1,1,5
436669,20080102 07:40,QUARTA,1,BOM,DIA,NORTE,2,1,2008,7,1,1,5
436666,20080102 07:45,QUARTA,1,BOM,DIA,SUL,2,1,2008,7,1,1,5
436778,20080102 08:10,QUARTA,0,BOM,DIA,NORTE,2,1,2008,8,1,0,1
436791,20080102 08:20,QUARTA,0,BOM,DIA,LESTE,2,1,2008,8,1,0,1
436767,20080102 08:30,QUARTA,0,BOM,DIA,LESTE,2,1,2008,8,1,0,1
436675,20080102 08:40,QUARTA,2,BOM,DIA,CENTRO,2,1,2008,8,1,1,5
436781,20080102 08:40,QUARTA,0,BOM,DIA,LESTE,2,1,2008,8,1,0,1
436779,20080102 08:40,QUARTA,0,BOM,DIA,NORTE,2,1,2008,8,1,0,1
436639,20080102 09:05,QUARTA,0,BOM,DIA,CENTRO,2,1,2008,9,1,0,1
436790,20080102 09:55,QUARTA,0,BOM,DIA,NORTE,2,1,2008,9,1,0,1
436771,20080102 10:00,QUARTA,0,BOM,DIA,SUL,2,1,2008,10,1,0,1
436763,20080102 10:00,QUARTA,0,BOM,DIA,LESTE,2,1,2008,10,1,0,1
436671,20080102 10:10,QUARTA,1,BOM,DIA,SUL,2,1,2008,10,1,1,5
436672,20080102 10:25,QUARTA,1,BOM,DIA,CENTRO,2,1,2008,10,1,1,5
437021,20080102 11:50,QUARTA,0,BOM,DIA,CENTRO,2,1,2008,11,1,0,1
436766,20080102 12:00,QUARTA,0,BOM,DIA,LESTE,2,1,2008,12,1,0,1
436780,20080102 12:20,QUARTA,0,BOM,DIA,NORTE,2,1,2008,12,1,0,1
436787,20080102 12:25,QUARTA,0,BOM,DIA,NORTE,2,1,2008,12,1,0,1
436676,20080102 12:40,QUARTA,1,BOM,DIA,SUL,2,1,2008,12,1,1,5
438560,20080102 13:10,QUARTA,0,BOM,DIA,CENTRO,2,1,2008,13,1,0,1
436677,20080102 13:40,QUARTA,2,BOM,DIA,NORTE,2,1,2008,13,1,1,5
437022,20080102 14:00,QUARTA,0,BOM,DIA,CENTRO,2,1,2008,14,1,0,1
436783,20080102 14:13,QUARTA,0,BOM,DIA,NORTE,2,1,2008,14,1,0,1
436714,20080102 15:00,QUARTA,0,BOM,DIA,CENTRO,2,1,2008,15,1,0,1
