ID,DATA_HORA,DIA_SEM,FERIDOS,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,CONT_ACID,CONT_VIT,UPS
558711,20130101 02:10,TERCA,0,BOM,NOITE,LESTE,1,1,2013,2,1,0,1
559035,20130101 03:00,TERCA,0,CHUVOSO,NOITE,LESTE,1,1,2013,3,1,0,1
558759,20130101 04:50,TERCA,0,CHUVOSO,NOITE,CENTRO,1,1,2013,4,1,0,1
558713,20130101 07:15,TERCA,1,BOM,DIA,SUL,1,1,2013,7,1,1,5
558915,20130101 07:40,TERCA,0,BOM,DIA,LESTE,1,1,2013,7,1,0,1
558917,20130101 08:15,TERCA,0,NUBLADO,DIA,LESTE,1,1,2013,8,1,0,1
571188,20130101 11:00,TERCA,1,CHUVOSO,DIA,LESTE,1,1,2013,11,1,1,5
559027,20130101 12:00,TERCA,0,BOM,DIA,SUL,1,1,2013,12,1,0,1
558718,20130101 16:00,TERCA,1,BOM,DIA,LESTE,1,1,2013,16,1,1,5
558719,20130101 18:10,TERCA,1,BOM,NOITE,NORTE,1,1,2013,18,1,1,5
558720,20130101 20:40,TERCA,0,BOM,NOITE,LESTE,1,1,2013,20,1,0,1
558920,20130101 21:00,TERCA,0,BOM,NOITE,LESTE,1,1,2013,21,1,0,1
558914,20130101 22:00,TERCA,0,NUBLADO,NOITE,CENTRO,1,1,2013,22,1,0,1
558918,20130101 22:30,TERCA,0,BOM,NOITE,SUL,1,1,2013,22,1,0,1
559234,20130102 00:00,QUARTA,0,BOM,NOITE,LESTE,2,1,2013,0,1,0,1
559407,20130102 01:05,QUARTA,1,BOM,NOITE,LESTE,2,1,2013,1,1,1,5
558767,20130102 03:45,QUARTA,2,BOM,NOITE,CENTRO,2,1,2013,3,1,1,5
558881,20130102 06:50,QUARTA,0,BOM,DIA,LESTE,2,1,2013,6,1,0,1
558939,20130102 07:20,QUARTA,0,BOM,DIA,LESTE,2,1,2013,7,1,0,1
575964,20130102 07:30,QUARTA,1,BOM,DIA,LESTE,2,1,2013,7,1,1,5
558768,20130102 08:15,QUARTA,1,BOM,DIA,LESTE,2,1,2013,8,1,1,5
558940,20130102 09:00,QUARTA,0,BOM,DIA,LESTE,2,1,2013,9,1,0,1
558937,20130102 11:40,QUARTA,0,NUBLADO,DIA,SUL,2,1,2013,11,1,0,1
558769,20130102 11:50,QUARTA,0,BOM,DIA,CENTRO,2,1,2013,11,1,0,1
558941,20130102 12:27,QUARTA,0,NUBLADO,DIA,LESTE,2,1,2013,12,1,0,1
558935,20130102 12:41,QUARTA,0,BOM,DIA,CENTRO,2,1,2013,12,1,0,1
558927,20130102 13:00,QUARTA,0,BOM,DIA,NORTE,2,1,2013,13,1,0,1
558770,20130102 13:15,QUARTA,1,BOM,DIA,NORTE,2,1,2013,13,1,1,5
559207,20130102 13:35,QUARTA,0,BOM,DIA,LESTE,2,1,2013,13,1,0,1
558942,20130102 13:40,QUARTA,0,NUBLADO,DIA,LESTE,2,1,2013,13,1,0,1
558933,20130102 13:50,QUARTA,0,BOM,DIA,NORTE,2,1,2013,13,1,0,1
558771,20130102 14:00,QUARTA,2,BOM,DIA,LESTE,2,1,2013,14,1,1,5
558932,20130102 14:20,QUARTA,0,BOM,DIA,NORTE,2,1,2013,14,1,0,1
558931,20130102 15:15,QUARTA,0,NUBLADO,DIA,NORTE,2,1,2013,15,1,0,1
558934,20130102 15:30,QUARTA,0,BOM,DIA,CENTRO,2,1,2013,15,1,0,1
558775,20130102 16:38,QUARTA,0,BOM,DIA,SUL,2,1,2013,16,1,1,13
558929,20130102 16:48,QUARTA,0,NUBLADO,DIA,NORTE,2,1,2013,16,1,0,1
558928,20130102 17:20,QUARTA,0,BOM,DIA,NORTE,2,1,2013,17,1,0,1
558938,20130102 17:25,QUARTA,0,BOM,DIA,SUL,2,1,2013,17,1,0,1
558776,20130102 17:25,QUARTA,1,BOM,DIA,SUL,2,1,2013,17,1,1,5
558777,20130102 18:15,QUARTA,0,BOM,NOITE,SUL,2,1,2013,18,1,0,1
558779,20130102 18:35,QUARTA,0,BOM,NOITE,LESTE,2,1,2013,18,1,0,1
576481,20130102 18:45,QUARTA,2,BOM,NOITE,NORTE,2,1,2013,18,1,1,5
558778,20130102 19:30,QUARTA,0,BOM,NOITE,SUL,2,1,2013,19,1,0,1
558780,20130102 20:40,QUARTA,0,BOM,NOITE,LESTE,2,1,2013,20,1,0,1
558781,20130102 22:15,QUARTA,1,BOM,NOITE,LESTE,2,1,2013,22,1,1,5
558782,20130102 22:20,QUARTA,2,BOM,NOITE,NORTE,2,1,2013,22,1,1,5
558869,20130103 05:50,QUINTA,1,BOM,NOITE,NORTE,3,1,2013,5,1,1,5
558960,20130103 06:10,QUINTA,0,BOM,DIA,SUL,3,1,2013,6,1,0,1
563532,20130103 07:00,QUINTA,2,BOM,DIA,LESTE,3,1,2013,7,1,1,5
558971,20130103 07:27,QUINTA,0,BOM,DIA,NORTE,3,1,2013,7,1,0,1
559036,20130103 07:30,QUINTA,0,BOM,DIA,LESTE,3,1,2013,7,1,0,1
558970,20130103 08:05,QUINTA,0,BOM,DIA,NORTE,3,1,2013,8,1,0,1
558982,20130103 08:22,QUINTA,0,BOM,DIA,CENTRO,3,1,2013,8,1,0,1
558958,20130103 08:30,QUINTA,0,BOM,DIA,NORTE,3,1,2013,8,1,0,1
559037,20130103 08:32,QUINTA,0,BOM,DIA,LESTE,3,1,2013,8,1,0,1
558870,20130103 08:50,QUINTA,1,BOM,DIA,SUL,3,1,2013,8,1,1,5
559038,20130103 08:55,QUINTA,0,BOM,DIA,LESTE,3,1,2013,8,1,0,1
558871,20130103 09:00,QUINTA,1,BOM,DIA,LESTE,3,1,2013,9,1,1,5
558981,20130103 09:30,QUINTA,0,BOM,DIA,CENTRO,3,1,2013,9,1,0,1
559040,20130103 09:55,QUINTA,0,BOM,DIA,LESTE,3,1,2013,9,1,0,1
558884,20130103 10:00,QUINTA,1,BOM,DIA,SUL,3,1,2013,10,1,1,5
559039,20130103 10:05,QUINTA,0,BOM,DIA,LESTE,3,1,2013,10,1,0,1
558973,20130103 10:10,QUINTA,0,BOM,DIA,LESTE,3,1,2013,10,1,0,1
558959,20130103 10:15,QUINTA,0,BOM,DIA,NORTE,3,1,2013,10,1,0,1
559041,20130103 10:20,QUINTA,0,BOM,DIA,LESTE,3,1,2013,10,1,0,1
558961,20130103 10:30,QUINTA,0,BOM,DIA,SUL,3,1,2013,10,1,0,1
558968,20130103 10:40,QUINTA,0,BOM,DIA,NORTE,3,1,2013,10,1,0,1
582290,20130103 11:00,QUINTA,0,CHUVOSO,DIA,LESTE,3,1,2013,11,1,0,1
