ID,DATA_HORA,DIA_SEM,FERIDOS,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,CONT_ACID,CONT_VIT,UPS
460836,20090101 04:00,QUINTA,0,BOM,NOITE,NORTE,1,1,2009,4,1,0,1
460838,20090101 04:40,QUINTA,0,BOM,NOITE,SUL,1,1,2009,4,1,0,1
460730,20090101 07:00,QUINTA,1,BOM,DIA,SUL,1,1,2009,7,1,1,5
460837,20090101 15:15,QUINTA,0,BOM,DIA,NORTE,1,1,2009,15,1,0,1
460834,20090101 17:00,QUINTA,0,NUBLADO,DIA,LESTE,1,1,2009,17,1,0,1
460805,20090101 19:00,QUINTA,1,BOM,NOITE,CENTRO,1,1,2009,19,1,1,5
460732,20090101 21:40,QUINTA,1,BOM,NOITE,SUL,1,1,2009,21,1,1,5
460835,20090101 23:07,QUINTA,0,NUBLADO,NOITE,CENTRO,1,1,2009,23,1,0,1
460845,20090102 08:00,SEXTA,0,NUBLADO,DIA,NORTE,2,1,2009,8,1,0,1
460839,20090102 10:10,SEXTA,0,NUBLADO,DIA,NORTE,2,1,2009,10,1,0,1
460844,20090102 12:00,SEXTA,0,NUBLADO,DIA,NORTE,2,1,2009,12,1,0,1
460846,20090102 12:30,SEXTA,0,BOM,DIA,NORTE,2,1,2009,12,1,0,1
460929,20090102 13:00,SEXTA,0,NUBLADO,DIA,CENTRO,2,1,2009,13,1,0,1
460734,20090102 15:15,SEXTA,9,CHUVOSO,DIA,NORTE,2,1,2009,15,1,1,5
461814,20090102 17:20,SEXTA,1,BOM,DIA,SUL,2,1,2009,17,1,1,5
460847,20090102 18:20,SEXTA,0,BOM,NOITE,NORTE,2,1,2009,18,1,0,1
460737,20090102 19:27,SEXTA,1,BOM,NOITE,CENTRO,2,1,2009,19,1,1,5
460739,20090102 21:20,SEXTA,1,CHUVOSO,NOITE,CENTRO,2,1,2009,21,1,1,5
460740,20090102 21:45,SEXTA,1,CHUVOSO,NOITE,SUL,2,1,2009,21,1,1,5
460842,20090102 21:45,SEXTA,0,CHUVOSO,NOITE,NORTE,2,1,2009,21,1,0,1
460812,20090102 22:15,SEXTA,1,BOM,NOITE,LESTE,2,1,2009,22,1,1,5
460741,20090102 22:18,SEXTA,1,BOM,NOITE,SUL,2,1,2009,22,1,1,5
461190,20090102 22:30,SEXTA,0,CHUVOSO,NOITE,NORTE,2,1,2009,22,1,0,1
460742,20090102 22:45,SEXTA,0,BOM,NOITE,CENTRO,2,1,2009,22,1,1,13
460843,20090102 23:30,SEXTA,0,CHUVOSO,NOITE,NORTE,2,1,2009,23,1,0,1
462783,20090103 01:00,SABADO,0,BOM,NOITE,CENTRO,3,1,2009,1,1,0,1
460745,20090103 01:00,SABADO,1,CHUVOSO,NOITE,NORTE,3,1,2009,1,1,1,5
