ID,DATA_HORA,DIA_SEM,FERIDOS,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,CONT_ACID,CONT_VIT,UPS
484245,20100101 00:30,SEXTA,0,BOM,NOITE,NORTE,1,1,2010,0,1,0,1
483993,20100101 05:35,SEXTA,1,BOM,NOITE,SUL,1,1,2010,5,1,1,5
484074,20100101 07:00,SEXTA,1,BOM,DIA,SUL,1,1,2010,7,1,1,5
484075,20100101 07:10,SEXTA,2,BOM,DIA,SUL,1,1,2010,7,1,1,5
489607,20100101 08:20,SEXTA,1,BOM,DIA,NORTE,1,1,2010,8,1,1,5
484082,20100101 08:40,SEXTA,14,BOM,DIA,SUL,1,1,2010,8,1,1,5
484132,20100101 10:30,SEXTA,1,NUBLADO,DIA,LESTE,1,1,2010,10,1,1,5
484079,20100101 11:00,SEXTA,1,BOM,DIA,CENTRO,1,1,2010,11,1,1,5
484077,20100101 11:00,SEXTA,1,BOM,DIA,LESTE,1,1,2010,11,1,1,5
484086,20100101 11:30,SEXTA,1,BOM,DIA,SUL,1,1,2010,11,1,1,5
484087,20100101 12:30,SEXTA,1,BOM,DIA,LESTE,1,1,2010,12,1,1,5
484246,20100101 19:05,SEXTA,0,BOM,NOITE,LESTE,1,1,2010,19,1,0,1
484088,20100101 19:30,SEXTA,2,BOM,NOITE,NORTE,1,1,2010,19,1,1,5
484090,20100101 21:10,SEXTA,1,BOM,NOITE,LESTE,1,1,2010,21,1,1,5
483983,20100101 21:45,SEXTA,0,BOM,NOITE,SUL,1,1,2010,21,1,1,13
484248,20100101 23:03,SEXTA,0,BOM,NOITE,LESTE,1,1,2010,23,1,0,1
484093,20100101 23:30,SEXTA,0,BOM,NOITE,LESTE,1,1,2010,23,1,1,13
484264,20100102 07:30,SABADO,0,BOM,DIA,LESTE,2,1,2010,7,1,0,1
488923,20100102 10:00,SABADO,1,BOM,DIA,SUL,2,1,2010,10,1,1,5
483995,20100102 10:15,SABADO,1,BOM,DIA,LESTE,2,1,2010,10,1,1,5
484094,20100102 11:20,SABADO,1,BOM,DIA,SUL,2,1,2010,11,1,1,5
484261,20100102 11:50,SABADO,0,BOM,DIA,NORTE,2,1,2010,11,1,0,1
484263,20100102 13:30,SABADO,0,BOM,DIA,NORTE,2,1,2010,13,1,0,1
484314,20100102 17:30,SABADO,0,BOM,DIA,NORTE,2,1,2010,17,1,0,1
484147,20100102 17:30,SABADO,3,BOM,DIA,LESTE,2,1,2010,17,1,1,5
484265,20100102 17:55,SABADO,0,BOM,DIA,SUL,2,1,2010,17,1,0,1
484098,20100102 18:00,SABADO,3,BOM,NOITE,LESTE,2,1,2010,18,1,1,5
484102,20100102 19:00,SABADO,2,BOM,NOITE,SUL,2,1,2010,19,1,1,5
483997,20100102 19:00,SABADO,1,BOM,NOITE,NORTE,2,1,2010,19,1,1,5
484104,20100103 02:10,DOMINGO,1,BOM,NOITE,NORTE,3,1,2010,2,1,1,5
484267,20100103 10:24,DOMINGO,0,BOM,DIA,NORTE,3,1,2010,10,1,0,1
483998,20100103 12:10,DOMINGO,1,BOM,DIA,CENTRO,3,1,2010,12,1,1,5
486142,20100103 12:20,DOMINGO,0,BOM,DIA,SUL,3,1,2010,12,1,0,1
486148,20100103 13:30,DOMINGO,0,NUBLADO,DIA,LESTE,3,1,2010,13,1,0,1
488179,20100103 13:30,DOMINGO,1,BOM,DIA,LESTE,3,1,2010,13,1,1,5
484269,20100103 14:35,DOMINGO,0,BOM,DIA,SUL,3,1,2010,14,1,0,1
484163,20100103 17:45,DOMINGO,0,BOM,DIA,LESTE,3,1,2010,17,1,0,1
486291,20100103 18:30,DOMINGO,2,BOM,NOITE,LESTE,3,1,2010,18,1,1,5
484000,20100103 18:30,DOMINGO,2,BOM,NOITE,SUL,3,1,2010,18,1,1,5
484146,20100103 19:20,DOMINGO,1,BOM,NOITE,LESTE,3,1,2010,19,1,1,5
483990,20100103 19:30,DOMINGO,3,BOM,NOITE,CENTRO,3,1,2010,19,1,1,5
484268,20100103 21:45,DOMINGO,0,BOM,NOITE,NORTE,3,1,2010,21,1,0,1
484266,20100103 22:45,DOMINGO,0,NUBLADO,NOITE,LESTE,3,1,2010,22,1,0,1
483987,20100103 23:00,DOMINGO,2,BOM,NOITE,SUL,3,1,2010,23,1,1,5
483991,20100103 23:15,DOMINGO,1,BOM,NOITE,LESTE,3,1,2010,23,1,1,5
484282,20100104 04:00,SEGUNDA,0,CHUVOSO,NOITE,CENTRO,4,1,2010,4,1,0,1
484107,20100104 04:10,SEGUNDA,2,BOM,NOITE,LESTE,4,1,2010,4,1,1,5
484895,20100104 05:00,SEGUNDA,0,CHUVOSO,NOITE,SUL,4,1,2010,5,1,0,1
483989,20100104 05:00,SEGUNDA,0,BOM,NOITE,LESTE,4,1,2010,5,1,0,1
484335,20100104 06:30,SEGUNDA,0,CHUVOSO,DIA,NORTE,4,1,2010,6,1,0,1
484303,20100104 06:40,SEGUNDA,0,CHUVOSO,DIA,NORTE,4,1,2010,6,1,0,1
484307,20100104 06:50,SEGUNDA,0,CHUVOSO,DIA,NORTE,4,1,2010,6,1,0,1
