ID,DATA_HORA,DIA_SEM,FERIDOS,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,CONT_ACID,CONT_VIT,UPS
536036,20120101 01:00,DOMINGO,1,BOM,NOITE,LESTE,1,1,2012,1,1,1,5
535378,20120101 02:00,DOMINGO,2,BOM,NOITE,LESTE,1,1,2012,2,1,1,5
535547,20120101 02:30,DOMINGO,0,BOM,NOITE,NORTE,1,1,2012,2,1,0,1
535549,20120101 02:50,DOMINGO,0,BOM,NOITE,LESTE,1,1,2012,2,1,0,1
535564,20120101 03:00,DOMINGO,0,BOM,NOITE,NORTE,1,1,2012,3,1,0,1
535384,20120101 03:20,DOMINGO,3,BOM,NOITE,SUL,1,1,2012,3,1,1,5
535581,20120101 03:20,DOMINGO,0,BOM,NOITE,SUL,1,1,2012,3,1,0,1
535388,20120101 07:00,DOMINGO,1,BOM,DIA,SUL,1,1,2012,7,1,1,5
535390,20120101 07:20,DOMINGO,2,BOM,DIA,SUL,1,1,2012,7,1,1,5
535393,20120101 09:10,DOMINGO,2,BOM,DIA,CENTRO,1,1,2012,9,1,1,5
535395,20120101 13:00,DOMINGO,4,BOM,DIA,NORTE,1,1,2012,13,1,1,5
535501,20120101 14:50,DOMINGO,0,BOM,DIA,SUL,1,1,2012,14,1,0,1
535397,20120101 15:00,DOMINGO,2,BOM,DIA,SUL,1,1,2012,15,1,1,5
535498,20120101 16:10,DOMINGO,0,NUBLADO,DIA,SUL,1,1,2012,16,1,0,1
535411,20120101 16:30,DOMINGO,1,BOM,DIA,NORTE,1,1,2012,16,1,1,5
535407,20120101 16:45,DOMINGO,2,BOM,DIA,SUL,1,1,2012,16,1,1,5
535402,20120101 16:55,DOMINGO,1,CHUVOSO,DIA,SUL,1,1,2012,16,1,1,5
535500,20120101 17:20,DOMINGO,0,NUBLADO,DIA,CENTRO,1,1,2012,17,1,0,1
535499,20120101 18:35,DOMINGO,0,BOM,NOITE,CENTRO,1,1,2012,18,1,0,1
535582,20120101 19:25,DOMINGO,0,NUBLADO,NOITE,NORTE,1,1,2012,19,1,0,1
535566,20120101 20:40,DOMINGO,0,NUBLADO,NOITE,NORTE,1,1,2012,20,1,0,1
535548,20120101 22:45,DOMINGO,0,NUBLADO,NOITE,CENTRO,1,1,2012,22,1,0,1
548682,20120102 00:39,SEGUNDA,1,BOM,NOITE,LESTE,2,1,2012,0,1,1,5
535957,20120102 01:15,SEGUNDA,0,BOM,NOITE,NORTE,2,1,2012,1,1,0,1
535452,20120102 05:20,SEGUNDA,1,BOM,NOITE,SUL,2,1,2012,5,1,1,5
535482,20120102 07:30,SEGUNDA,0,BOM,DIA,NORTE,2,1,2012,7,1,0,1
535497,20120102 07:33,SEGUNDA,0,NUBLADO,DIA,CENTRO,2,1,2012,7,1,0,1
535453,20120102 07:45,SEGUNDA,1,BOM,DIA,NORTE,2,1,2012,7,1,1,5
535495,20120102 07:55,SEGUNDA,0,NUBLADO,DIA,NORTE,2,1,2012,7,1,0,1
535584,20120102 08:20,SEGUNDA,0,BOM,DIA,LESTE,2,1,2012,8,1,0,1
535464,20120102 08:30,SEGUNDA,1,BOM,DIA,NORTE,2,1,2012,8,1,1,5
535561,20120102 09:00,SEGUNDA,0,BOM,DIA,CENTRO,2,1,2012,9,1,0,1
535493,20120102 09:00,SEGUNDA,0,BOM,DIA,NORTE,2,1,2012,9,1,0,1
535469,20120102 09:30,SEGUNDA,1,BOM,DIA,LESTE,2,1,2012,9,1,1,5
535557,20120102 09:35,SEGUNDA,0,NUBLADO,DIA,SUL,2,1,2012,9,1,0,1
535490,20120102 09:35,SEGUNDA,0,BOM,DIA,NORTE,2,1,2012,9,1,0,1
535467,20120102 09:50,SEGUNDA,1,BOM,DIA,CENTRO,2,1,2012,9,1,1,5
535589,20120102 10:00,SEGUNDA,0,BOM,DIA,LESTE,2,1,2012,10,1,0,1
535484,20120102 10:24,SEGUNDA,0,BOM,DIA,NORTE,2,1,2012,10,1,0,1
535475,20120102 10:30,SEGUNDA,1,BOM,DIA,NORTE,2,1,2012,10,1,1,5
535496,20120102 10:40,SEGUNDA,0,BOM,DIA,NORTE,2,1,2012,10,1,0,1
535585,20120102 11:25,SEGUNDA,0,BOM,DIA,LESTE,2,1,2012,11,1,0,1
535477,20120102 11:50,SEGUNDA,2,BOM,DIA,NORTE,2,1,2012,11,1,1,5
535478,20120102 12:00,SEGUNDA,1,BOM,DIA,NORTE,2,1,2012,12,1,1,5
535588,20120102 12:05,SEGUNDA,0,BOM,DIA,LESTE,2,1,2012,12,1,0,1
